Handle,Title,Vendor,Variant SKU,Variant Price,Variant Inventory Qty,Product Type,Variant Inventory Tracker,Status
bathing-culture-bath-and-body-perfume-oil-cathedral-9ml,Perfume Oil Cathedral 9ml,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-PERFUME-OIL-CATHEDRAL-9ML,,0,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-perfume-oil-meadow-vision-9ml,Perfume Oil Meadow Vision 9ml,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-PERFUME-OIL-MEADOW-VISION-9ML,,0,BATH AND BODY,shopify,draft
bathing-culture-bath-and-body-shampoo-kelp-forest-8oz,Shampoo Kelp Forest 8oz,BATHING CULTURE,BATHING-CULTURE-BATH-AND-BODY-SHAMPOO-KELP-FOREST-8OZ,,2,BATH AND BODY,shopify,draft
bathing-culture-towels-towels,Towels,BATHING CULTURE,BATHING-CULTURE-TOWELS-TOWELS,,2,TOWELS,shopify,draft
bhldn-dresses-blue-grey-dress-size-4-anthro,Blue/Grey Dress size 4 Anthro,BHLDN,BHLDN-DRESSES-BLUE-GREY-DRESS-SIZE-4-ANTHRO,,1,DRESSES,shopify,draft
bhldn-tops-bridal-cover-up,Bridal Cover Up,BHLDN,BHLDN-TOPS-BRIDAL-COVER-UP,,2,TOPS,shopify,draft
bhldn-dresses-lilac-dress-size-10-anthro,Lilac Dress size 10 anthro,BHLDN,BHLDN-DRESSES-LILAC-DRESS-SIZE-10-ANTHRO,,1,DRESSES,shopify,draft
bhldn-dresses-peach-dress-size-4-anthro,Peach Dress size 4 Anthro,BHLDN,BHLDN-DRESSES-PEACH-DRESS-SIZE-4-ANTHRO,,1,DRESSES,shopify,draft
bhldn-dresses-sage-dress-size-4-anthro,Sage Dress size 4 anthro,BHLDN,BHLDN-DRESSES-SAGE-DRESS-SIZE-4-ANTHRO,,1,DRESSES,shopify,draft
blackbird-press-cards-nuts-for-you-squirrel-card,Nuts for You Squirrel Card,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-NUTS-FOR-YOU-SQUIRREL-CARD,3.5,0,CARDS,shopify,draft
blackbird-press-cards-bff-dog-gift-card,BFF dog gift card,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-BFF-DOG-GIFT-CARD,3.5,0,CARDS,shopify,draft
blackbird-press-cards-howl-yes-grey-fox-gift-card,Howl Yes grey fox gift card,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-HOWL-YES-GREY-FOX-GIFT-CARD,3.5,0,CARDS,shopify,draft
blackbird-press-cards-later-gator,Later Gator,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-LATER-GATOR,3.5,0,CARDS,shopify,draft
blackbird-press-cards-snake-yellow-gold-mini-card,Snake Yellow Gold Mini Card,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-SNAKE-YELLOW-GOLD-MINI-CARD,2.5,4,CARDS,shopify,draft
blackbird-press-notepads-tools-notebook,Tools Notebook,BLACKBIRD PRESS,BLACKBIRD-PRESS-NOTEPADS-TOOLS-NOTEBOOK,6,6,NOTEPADS,shopify,draft
blackbird-press-cards-valentine-bear-hug-card,Valentine Bear Hug Card,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-VALENTINE-BEAR-HUG-CARD,3.5,4,CARDS,shopify,draft
blackbird-press-cards-whatever-cat,Whatever cat,BLACKBIRD PRESS,BLACKBIRD-PRESS-CARDS-WHATEVER-CAT,,0,CARDS,shopify,draft
bombshell-betty-accessories-bandana-scarf-slide,Bandana/Scarf Slide,BOMBSHELL BETTY,BOMBSHELL-BETTY-ACCESSORIES-BANDANA-SCARF-SLIDE,10,1,ACCESSORIES,shopify,draft
bombshell-betty-bracelets-vintage-belt-bracelet,Vintage Belt Bracelet,BOMBSHELL BETTY,BOMBSHELL-BETTY-BRACELETS-VINTAGE-BELT-BRACELET,24,12,BRACELETS,shopify,draft
calhoun-towels-co-alligator-patio-knit-throw-blanket,& Co Alligator Patio Knit Throw Blanket,CALHOUN,CALHOUN-TOWELS-CO-ALLIGATOR-PATIO-KNIT-THROW-BLANKET,67,1,TOWELS,shopify,draft
calhoun-towels-co-alligator-screen-printed-tea-towel,& Co Alligator Screen Printed Tea Towel,CALHOUN,CALHOUN-TOWELS-CO-ALLIGATOR-SCREEN-PRINTED-TEA-TOWEL,9.5,0,TOWELS,shopify,draft
calhoun-towels-co-howdy-cowgirl-boots-tea-towel,& Co Howdy Cowgirl Boots Tea Towel,CALHOUN,CALHOUN-TOWELS-CO-HOWDY-COWGIRL-BOOTS-TEA-TOWEL,9.5,0,TOWELS,shopify,draft
calhoun-towels-co-aliigator-knit-scarf,& Co. Aliigator Knit Scarf,CALHOUN,CALHOUN-TOWELS-CO-ALIIGATOR-KNIT-SCARF,35,0,TOWELS,shopify,draft
calhoun-rugs-co-leopard-rug,& Co. Leopard Rug,CALHOUN,CALHOUN-RUGS-CO-LEOPARD-RUG,124,1,RUGS,shopify,draft
cave-glow-candles-woodland-set-of-4-beeswax-candles,Woodland Set of 4 Beeswax Candles,CAVE GLOW,CAVE-GLOW-CANDLES-WOODLAND-SET-OF-4-BEESWAX-CANDLES,17,3,CANDLES,shopify,draft
cave-glow-candles-hydrangea-set-of-3-beeswax-candles,Hydrangea Set of 3 Beeswax Candles,CAVE GLOW,CAVE-GLOW-CANDLES-HYDRANGEA-SET-OF-3-BEESWAX-CANDLES,13,1,CANDLES,shopify,draft
cave-glow-candles-magic-hour-beeswax-set-of-4,Magic Hour Beeswax Set of 4,CAVE GLOW,CAVE-GLOW-CANDLES-MAGIC-HOUR-BEESWAX-SET-OF-4,17,6,CANDLES,shopify,draft
cave-glow-candles-sunrise-beeswax-spiral-candles-set-of-3,Sunrise Beeswax Spiral Candles Set of 3,CAVE GLOW,CAVE-GLOW-CANDLES-SUNRISE-BEESWAX-SPIRAL-CANDLES-SET-OF-3,13,2,CANDLES,shopify,draft
celeste-mogador-pins-at-first-sight,At First Sight!,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-AT-FIRST-SIGHT,39.6,1,PINS,shopify,draft
celeste-mogador-pins-avocado-brooch,Avocado Brooch,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-AVOCADO-BROOCH,61.6,1,PINS,shopify,draft
celeste-mogador-pins-burning-kiss-size-m-lips,Burning Kiss Size M (Lips),CELESTE MOGADOR,CELESTE-MOGADOR-PINS-BURNING-KISS-SIZE-M-LIPS,57.2,1,PINS,shopify,draft
celeste-mogador-pins-deep-blue-mystery-brooch,Deep Blue Mystery Brooch,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-DEEP-BLUE-MYSTERY-BROOCH,44,1,PINS,shopify,draft
celeste-mogador-pins-green-stare-brooch,Green Stare Brooch,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-GREEN-STARE-BROOCH,44,1,PINS,shopify,draft
celeste-mogador-necklaces-helene-s-necklace-heart,Helene’s Necklace Heart,CELESTE MOGADOR,CELESTE-MOGADOR-NECKLACES-HELENE-S-NECKLACE-HEART,59.4,1,NECKLACES,shopify,draft
celeste-mogador-pins-jane-b-pop-brooch,Jane B Pop Brooch,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-JANE-B-POP-BROOCH,41.8,1,PINS,shopify,draft
celeste-mogador-earrings-janis-j-clip-earrings,Janis J Clip Earrings,CELESTE MOGADOR,CELESTE-MOGADOR-EARRINGS-JANIS-J-CLIP-EARRINGS,35.2,1,EARRINGS,shopify,draft
celeste-mogador-pins-nathalie-w-pop-brooch-heart,Nathalie W Pop Brooch (Heart),CELESTE MOGADOR,CELESTE-MOGADOR-PINS-NATHALIE-W-POP-BROOCH-HEART,41.8,1,PINS,shopify,draft
celeste-mogador-pins-purple-brooch-with-freshwater-pearls,Purple Brooch with Freshwater Pearls,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-PURPLE-BROOCH-WITH-FRESHWATER-PEARLS,33,1,PINS,shopify,draft
celeste-mogador-necklaces-sidonie-s-necklace,Sidonie’s Necklace,CELESTE MOGADOR,CELESTE-MOGADOR-NECKLACES-SIDONIE-S-NECKLACE,59.4,1,NECKLACES,shopify,draft
celeste-mogador-pins-smoky-lips-brooch,Smoky Lips Brooch,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-SMOKY-LIPS-BROOCH,101.2,1,PINS,shopify,draft
celeste-mogador-pins-support-with-your-eyes,Support With Your Eyes!,CELESTE MOGADOR,CELESTE-MOGADOR-PINS-SUPPORT-WITH-YOUR-EYES,39.6,1,PINS,shopify,draft
denum-vest-jeans-aztec-southwestern-vintage-vest,Jeans Aztec Southwestern Vintage Vest,DENUM,DENUM-VEST-JEANS-AZTEC-SOUTHWESTERN-VINTAGE-VEST,46.67,1,VEST,shopify,draft
dressed-handbags-cowboy-tote-bag,Cowboy Tote Bag,DRESSED,DRESSED-HANDBAGS-COWBOY-TOTE-BAG,60,12,HANDBAGS,shopify,draft
eastern-accents-pillows-studio-773-eden-garden-decorative-pillow-13-x-22,Studio 773 Eden Garden Decorative Pillow 13 x 22,EASTERN ACCENTS,EASTERN-ACCENTS-PILLOWS-STUDIO-773-EDEN-GARDEN-DECORATIVE-PILLOW-13-X-22,,1,PILLOWS,shopify,draft
eastern-accents-pillows-studio-773-malamala-ocean-decorative-pillow,Studio 773 Malamala Ocean Decorative Pillow,EASTERN ACCENTS,EASTERN-ACCENTS-PILLOWS-STUDIO-773-MALAMALA-OCEAN-DECORATIVE-PILLOW,,0,PILLOWS,shopify,draft
eastern-accents-pillows-studio-773-paradise-lush-decorative-pillow-13x22,Studio 773 Paradise Lush Decorative Pillow 13x22,EASTERN ACCENTS,EASTERN-ACCENTS-PILLOWS-STUDIO-773-PARADISE-LUSH-DECORATIVE-PILLOW-13X22,85,0,PILLOWS,shopify,draft
eastern-accents-pillows-studio-773-paradise-lush-decorative-pillow-22x22,Studio 773 Paradise Lush Decorative Pillow 22x22,EASTERN ACCENTS,EASTERN-ACCENTS-PILLOWS-STUDIO-773-PARADISE-LUSH-DECORATIVE-PILLOW-22X22,,3,PILLOWS,shopify,draft
ellen-macomber-ellen-macomber-pink-silk-pocket-square,Pink Silk Pocket Square,ELLEN MACOMBER,ELLEN-MACOMBER-ELLEN-MACOMBER-PINK-SILK-POCKET-SQUARE,15,0,ELLEN MACOMBER,shopify,draft
ellen-macomber-scarves-silk-pocket-square-green,Silk Pocket Square Green,ELLEN MACOMBER,ELLEN-MACOMBER-SCARVES-SILK-POCKET-SQUARE-GREEN,15,1,SCARVES,shopify,draft
ellen-macomber-ellen-macomber-silk-pocket-square-steel-gray,Silk Pocket Square Steel Gray,ELLEN MACOMBER,ELLEN-MACOMBER-ELLEN-MACOMBER-SILK-POCKET-SQUARE-STEEL-GRAY,15,2,ELLEN MACOMBER,shopify,draft
ellen-macomber-pins-small-eyes,Small Eyes,ELLEN MACOMBER,ELLEN-MACOMBER-PINS-SMALL-EYES,50,3,PINS,shopify,draft
ellen-macomber-tops-eye-military-jacket,eye military jacket,ELLEN MACOMBER,ELLEN-MACOMBER-TOPS-EYE-MILITARY-JACKET,,1,TOPS,shopify,draft
ellen-macomber-ellen-macomber-shotgun-pocket-square-navy,Shotgun Pocket Square Navy,ELLEN MACOMBER,ELLEN-MACOMBER-ELLEN-MACOMBER-SHOTGUN-POCKET-SQUARE-NAVY,,0,ELLEN MACOMBER,shopify,draft
eloise-et-moi-scarves-hand-embroidered-desierto-bandana-snake-plant-dyed,Hand Embroidered Desierto Bandana (snake) Plant Dyed,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-HAND-EMBROIDERED-DESIERTO-BANDANA-SNAKE-PLANT-DYED,16.5,3,SCARVES,shopify,draft
eloise-et-moi-scarves-hand-embroidered-howdy-bandana-plant-dyed,Hand Embroidered Howdy Bandana Plant Dyed,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-HAND-EMBROIDERED-HOWDY-BANDANA-PLANT-DYED,16.5,0,SCARVES,shopify,draft
eloise-et-moi-scarves-hand-embroidered-rodeo-cotton-bandana,Hand Embroidered Rodeo Cotton Bandana,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-HAND-EMBROIDERED-RODEO-COTTON-BANDANA,17.5,2,SCARVES,shopify,draft
eloise-et-moi-scarves-suerte-bandana-hand-dyed-organic-cotton-horseshoe,Suerte Bandana Hand Dyed Organic Cotton (horseshoe),ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-SUERTE-BANDANA-HAND-DYED-ORGANIC-COTTON-HORSESHOE,16.5,2,SCARVES,shopify,draft
eloise-et-moi-scarves-georgia-bandana,Georgia Bandana,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-GEORGIA-BANDANA,24.5,0,SCARVES,shopify,draft
eloise-et-moi-scarves-organic-bandana-muted-pink,organic bandana muted pink,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-ORGANIC-BANDANA-MUTED-PINK,15.5,2,SCARVES,shopify,draft
eloise-et-moi-scarves-organic-oui-bandana-green-leaf,organic oui bandana green leaf,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-ORGANIC-OUI-BANDANA-GREEN-LEAF,15.5,0,SCARVES,shopify,draft
eloise-et-moi-scarves-organic-oui-bandana-indigo-blue,organic oui bandana indigo blue,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-ORGANIC-OUI-BANDANA-INDIGO-BLUE,15.5,0,SCARVES,shopify,draft
eloise-et-moi-scarves-organic-oui-bandana-moss-yellow,organic oui bandana moss yellow,ELOISE ET MOI,ELOISE-ET-MOI-SCARVES-ORGANIC-OUI-BANDANA-MOSS-YELLOW,15.5,1,SCARVES,shopify,draft
estate-sale-belts-judith-leiber-belt-rita-moreno,Judith Leiber Belt Rita Moreno,ESTATE SALE,ESTATE-SALE-BELTS-JUDITH-LEIBER-BELT-RITA-MORENO,75,1,BELTS,shopify,draft
faire-home-goods-el-guapo-drink-mixers,El Guapo Drink Mixers,FAIRE,FAIRE-HOME-GOODS-EL-GUAPO-DRINK-MIXERS,15,20,HOME GOODS,shopify,draft
faire-cards-red-cap-cards-one-in-a-trillion,Red Cap Cards One in a Trillion,FAIRE,FAIRE-CARDS-RED-CAP-CARDS-ONE-IN-A-TRILLION,2.75,7,CARDS,shopify,draft
faire-cards-red-cap-cards-palm-reading-encouragement,Red Cap Cards Palm Reading Encouragement,FAIRE,FAIRE-CARDS-RED-CAP-CARDS-PALM-READING-ENCOURAGEMENT,2.75,0,CARDS,shopify,draft
faire-cards-relax-you-ll-be-dead-red-cap-cards,Relax! You'll be dead Red Cap Cards,FAIRE,FAIRE-CARDS-RELAX-YOU-LL-BE-DEAD-RED-CAP-CARDS,2.75,0,CARDS,shopify,draft
faire-notepads-royal-horse-long-pad-alexa-pulitzer,Royal Horse Long Pad Alexa Pulitzer,FAIRE,FAIRE-NOTEPADS-ROYAL-HORSE-LONG-PAD-ALEXA-PULITZER,9.6,4,NOTEPADS,shopify,draft
faire-notepads-royal-pelican-long-pad-alexa-pulitzer,Royal Pelican Long Pad Alexa Pulitzer,FAIRE,FAIRE-NOTEPADS-ROYAL-PELICAN-LONG-PAD-ALEXA-PULITZER,8,4,NOTEPADS,shopify,draft
faire-notepads-royal-tiger-long-pad-alexa-pulitzer,Royal Tiger Long Pad Alexa Pulitzer,FAIRE,FAIRE-NOTEPADS-ROYAL-TIGER-LONG-PAD-ALEXA-PULITZER,9.6,1,NOTEPADS,shopify,draft
faire-napkins-second-line-beverage-napkins-20-pack-alexa-pulitzer,Second Line Beverage Napkins (20 pack) Alexa Pulitzer,FAIRE,FAIRE-NAPKINS-SECOND-LINE-BEVERAGE-NAPKINS-20-PACK-ALEXA-PULITZER,7.8,0,NAPKINS,shopify,draft
faire-gift-tags-second-line-gift-tags-10-pack-alexa-pulitzer,Second Line Gift Tags (10 pack) Alexa Pulitzer,FAIRE,FAIRE-GIFT-TAGS-SECOND-LINE-GIFT-TAGS-10-PACK-ALEXA-PULITZER,5,6,GIFT TAGS,shopify,draft
faire-cards-snappy-birthday-red-cap-cards,Snappy Birthday Red Cap Cards,FAIRE,FAIRE-CARDS-SNAPPY-BIRTHDAY-RED-CAP-CARDS,2.75,1,CARDS,shopify,draft
faire-notepads-trumpet-long-pad-alexa-pulitzer,Trumpet Long Pad Alexa Pulitzer,FAIRE,FAIRE-NOTEPADS-TRUMPET-LONG-PAD-ALEXA-PULITZER,9.6,2,NOTEPADS,shopify,draft
forelli-vest-forrelli-southwestern-cowboy-desert-vintage-vest,Forrelli Southwestern Cowboy Desert Vintage Vest,FORELLI,FORELLI-VEST-FORRELLI-SOUTHWESTERN-COWBOY-DESERT-VINTAGE-VEST,32.47,1,VEST,shopify,draft
gady-handbags-silk-clutch-catahoula-collection-ellen-mccomber-parakeet,Silk Clutch Catahoula Collection + Ellen McComber Parakeet,GADY,GADY-HANDBAGS-SILK-CLUTCH-CATAHOULA-COLLECTION-ELLEN-MCCOMBER-PARAKEET,,1,HANDBAGS,shopify,draft
gady-handbags-silk-tote-black-and-gold-pattern,Silk Tote Black and Gold Pattern ⚜️,GADY,GADY-HANDBAGS-SILK-TOTE-BLACK-AND-GOLD-PATTERN,,0,HANDBAGS,shopify,draft
gady-handbags-silk-tote-black-and-white-flower,Silk Tote Black and White Flower,GADY,GADY-HANDBAGS-SILK-TOTE-BLACK-AND-WHITE-FLOWER,90,0,HANDBAGS,shopify,draft
